,Los Angeles,Seattle,Miami,Austin,Chicago,New York,Washington,Atlanta,Las Vegas,Denver
Los Angeles,0,1544.95,3757.88,1971.26,2803.81,3935.61,3693.57,3109.99,367.47,1335.88
Seattle,1544.95,0,4394.61,2847.46,2788.28,3865.33,3738.24,3505.25,1402.32,1640.89
Miami,3757.88,4394.61,0,1791.57,1916.42,1756.62,1488.44,974.5,3504.17,2774.87
Austin,1971.26,2847.46,1791.57,0,1577.07,2431.94,2119.37,1316.33,1742.94,1241.64
Chicago,2803.81,2788.28,1916.42,1577.07,0,1144.42,957.58,948.07,2448.02,1477.09
New York,3935.61,3865.33,1756.62,2431.94,1144.42,0,327.43,1200.52,3584.86,2618.51
Washington,3693.57,3738.24,1488.44,2119.37,957.58,327.43,0,873.1,3350.72,2397.85
Atlanta,3109.99,3505.25,974.5,1316.33,948.07,1200.52,873.1,0,2803.39,1946.61
Las Vegas,367.47,1402.32,3504.17,1742.94,2448.02,3584.86,3350.72,2803.39,0,974.11
Denver,1335.88,1640.89,2774.87,1241.64,1477.09,2618.51,2397.85,1946.61,974.11,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,, ,
