r^2,eff_para
0.005128881072784308,8
0.013976888617776684,8
-0.008483129174205573,7
-0.021236399709036347,7
0.01962548154702337,7
0.03144716211024934,8
0.00943609815069446,8
-0.005700440517024674,7
0.0014343237943691411,9
-0.006176204595162771,9
-0.005910066030531569,9
0.005117503998643191,10
0.009797480302644157,9
-0.005495446004204929,9
0.06047660707372238,7
-0.10827927793283654,8
0.056077363779694966,9
0.07277884359719766,8
0.0055731413270180274,8
0.016718956833412846,9
-0.050868742126900734,8
-0.010153272261590685,8
0.07688422558196062,9
0.10535152771132872,10
-0.029157453836824,9
0.034568101830794395,11
0.042100506813419036,10
-0.005113334075289577,10
-0.09992361040979492,10
0.015167661519021047,10
