r^2,K
-0.9793003093338384,4
0.2844851593117379,1
-0.46178484775268,4
-0.06188300308867256,3
-0.4538464826939863,4
-0.8533293486626998,3
-0.11140213174578961,2
-0.13208221568085787,1
0.004073538808193944,4
-0.09829334955523894,1
-0.011466594426078558,2
0.16012100127561169,2
0.2757751082159341,4
-0.4153578748440343,3
0.059008028423575665,1
0.22865242255879015,1
-0.11512155702292515,1
-24.114037202814934,1
-0.10655551137186015,1
-0.06661442199269207,1
-0.07928363327442178,1
0.03865351328378197,1
-0.9077526896973895,4
-0.006124737554323634,1
-0.23751213213159228,1
-0.25520038191795513,4
-0.014273574131145716,1
-0.15553942361550566,1
0.011769154624286848,1
0.016610164319498133,1
